match_id,date,home_team,away_team,venue,competition,result,attendance,outcome,is_finished
2025-08-13_Paris_Saint-Germain_vs_Tottenham_Hotspur,2025-08-13,Paris Saint-Germain,Tottenham Hotspur,Away,UEFA Super Cup,6:5,21025.0,Loss,True
2025-08-16_Tottenham_Hotspur_vs_Burnley_FC,2025-08-16,Tottenham Hotspur,Burnley FC,Home,Premier League,3:0,61077.0,Win,True
2025-08-16_Tottenham_Hotspur_vs_Reading_FC_U18,2025-08-16,Tottenham Hotspur,Reading FC U18,Home,U18 Premier League,2:2,,Draw,True
2025-08-18_Sunderland_AFC_U21_vs_Tottenham_Hotspur,2025-08-18,Sunderland AFC U21,Tottenham Hotspur,Away,Premier League 2,3:5,,Win,True
2025-08-22_Tottenham_Hotspur_vs_Crystal_Palace_U21,2025-08-22,Tottenham Hotspur,Crystal Palace U21,Home,Premier League 2,2:3,,Loss,True
2025-08-23_Manchester_City_vs_Tottenham_Hotspur,2025-08-23,Manchester City,Tottenham Hotspur,Away,Premier League,0:2,51785.0,Win,True
2025-08-23_Norwich_City_U18_vs_Tottenham_Hotspur,2025-08-23,Norwich City U18,Tottenham Hotspur,Away,U18 Premier League,0:2,,Win,True
2025-08-26_Bristol_Rovers_vs_Tottenham_Hotspur,2025-08-26,Bristol Rovers,Tottenham Hotspur,Away,EFL Trophy,9:8,1067.0,Loss,True
2025-08-30_Tottenham_Hotspur_vs_AFC_Bournemouth,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Home,Premier League,0:1,61250.0,Loss,True
2025-08-30_Tottenham_Hotspur_vs_Crystal_Palace_U18,2025-08-30,Tottenham Hotspur,Crystal Palace U18,Home,U18 Premier League,2:3,,Loss,True
2025-08-30_Tottenham_Hotspur_vs_Nottingham_Forest_U21,2025-08-30,Tottenham Hotspur,Nottingham Forest U21,Home,Premier League 2,1:0,,Win,True
2025-09-13_West_Ham_United_vs_Tottenham_Hotspur,2025-09-13,West Ham United,Tottenham Hotspur,Away,Premier League,0:3,62459.0,Win,True
2025-09-13_West_Ham_United_U18_vs_Tottenham_Hotspur,2025-09-13,West Ham United U18,Tottenham Hotspur,Away,U18 Premier League,0:5,,Win,True
2025-09-16_Tottenham_Hotspur_vs_Villarreal_CF,2025-09-16,Tottenham Hotspur,Villarreal CF,Home,UEFA Champions League,1:0,54755.0,Win,True
2025-09-16_Tottenham_Hotspur_vs_Villarreal_CF_UEFA_U19,2025-09-16,Tottenham Hotspur,Villarreal CF UEFA U19,Home,UEFA Youth League,5:3,,Win,True
2025-09-19_Leicester_City_U21_vs_Tottenham_Hotspur,2025-09-19,Leicester City U21,Tottenham Hotspur,Away,Premier League 2,3:6,,Win,True
2025-09-20_Brighton_&_Hove_Albion_vs_Tottenham_Hotspur,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Away,Premier League,2:2,31488.0,Draw,True
2025-09-20_Southampton_FC_U18_vs_Tottenham_Hotspur,2025-09-20,Southampton FC U18,Tottenham Hotspur,Away,U18 Premier League,4:2,,Loss,True
2025-09-23_Plymouth_Argyle_vs_Tottenham_Hotspur,2025-09-23,Plymouth Argyle,Tottenham Hotspur,Away,EFL Trophy,,,Unknown,False
2025-09-24_Tottenham_Hotspur_vs_Doncaster_Rovers,2025-09-24,Tottenham Hotspur,Doncaster Rovers,Home,EFL Cup,,,Unknown,False
2025-09-26_Tottenham_Hotspur_vs_West_Bromwich_Albion_U21,2025-09-26,Tottenham Hotspur,West Bromwich Albion U21,Home,Premier League 2,,,Unknown,False
2025-09-27_Tottenham_Hotspur_vs_Wolverhampton_Wanderers,2025-09-27,Tottenham Hotspur,Wolverhampton Wanderers,Home,Premier League,,,Unknown,False
2025-09-27_Tottenham_Hotspur_vs_Birmingham_City_U18,2025-09-27,Tottenham Hotspur,Birmingham City U18,Home,U18 Premier League,,,Unknown,False
2025-09-30_FK_Bodø/Glimt_vs_Tottenham_Hotspur,2025-09-30,FK Bodø/Glimt,Tottenham Hotspur,Away,UEFA Champions League,,,Unknown,False
2025-09-30_FK_Bodø/Glimt_UEFA_U19_vs_Tottenham_Hotspur,2025-09-30,FK Bodø/Glimt UEFA U19,Tottenham Hotspur,Away,UEFA Youth League,,,Unknown,False
2025-10-04_Leeds_United_vs_Tottenham_Hotspur,2025-10-04,Leeds United,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-10-05_Newcastle_United_U21_vs_Tottenham_Hotspur,2025-10-05,Newcastle United U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2025-10-18_Chelsea_FC_U18_vs_Tottenham_Hotspur,2025-10-18,Chelsea FC U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2025-10-19_Tottenham_Hotspur_vs_Aston_Villa,2025-10-19,Tottenham Hotspur,Aston Villa,Home,Premier League,,,Unknown,False
2025-10-22_AS_Monaco_vs_Tottenham_Hotspur,2025-10-22,AS Monaco,Tottenham Hotspur,Away,UEFA Champions League,,,Unknown,False
2025-10-22_AS_Monaco_UEFA_U19_vs_Tottenham_Hotspur,2025-10-22,AS Monaco UEFA U19,Tottenham Hotspur,Away,UEFA Youth League,,,Unknown,False
2025-10-24_Manchester_United_U21_vs_Tottenham_Hotspur,2025-10-24,Manchester United U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2025-10-25_Tottenham_Hotspur_vs_Leicester_City_U18,2025-10-25,Tottenham Hotspur,Leicester City U18,Home,U18 Premier League,,,Unknown,False
2025-10-26_Everton_FC_vs_Tottenham_Hotspur,2025-10-26,Everton FC,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-10-28_Cheltenham_Town_vs_Tottenham_Hotspur,2025-10-28,Cheltenham Town,Tottenham Hotspur,Away,EFL Trophy,,,Unknown,False
2025-10-31_Tottenham_Hotspur_vs_Southampton_FC_U21,2025-10-31,Tottenham Hotspur,Southampton FC U21,Home,Premier League 2,,,Unknown,False
2025-11-01_Tottenham_Hotspur_vs_Chelsea_FC,2025-11-01,Tottenham Hotspur,Chelsea FC,Home,Premier League,,,Unknown,False
2025-11-04_Tottenham_Hotspur_vs_FC_Copenhagen,2025-11-04,Tottenham Hotspur,FC Copenhagen,Home,UEFA Champions League,,,Unknown,False
2025-11-04_Tottenham_Hotspur_vs_FC_Copenhagen_UEFA_U19,2025-11-04,Tottenham Hotspur,FC Copenhagen UEFA U19,Home,UEFA Youth League,,,Unknown,False
2025-11-08_Tottenham_Hotspur_vs_Manchester_United,2025-11-08,Tottenham Hotspur,Manchester United,Home,Premier League,,,Unknown,False
2025-11-08_Tottenham_Hotspur_vs_Ipswich_Town_U18,2025-11-08,Tottenham Hotspur,Ipswich Town U18,Home,U18 Premier League,,,Unknown,False
2025-11-08_Fulham_FC_U21_vs_Tottenham_Hotspur,2025-11-08,Fulham FC U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2025-11-23_Arsenal_FC_vs_Tottenham_Hotspur,2025-11-23,Arsenal FC,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-11-26_Paris_Saint-Germain_vs_Tottenham_Hotspur,2025-11-26,Paris Saint-Germain,Tottenham Hotspur,Away,UEFA Champions League,,,Unknown,False
2025-11-26_Paris_Saint-Germain_UEFA_U19_vs_Tottenham_Hotspur,2025-11-26,Paris Saint-Germain UEFA U19,Tottenham Hotspur,Away,UEFA Youth League,,,Unknown,False
2025-11-29_Tottenham_Hotspur_vs_Fulham_FC,2025-11-29,Tottenham Hotspur,Fulham FC,Home,Premier League,,,Unknown,False
2025-11-29_Tottenham_Hotspur_vs_Arsenal_FC_U18,2025-11-29,Tottenham Hotspur,Arsenal FC U18,Home,U18 Premier League,,,Unknown,False
2025-12-03_Newcastle_United_vs_Tottenham_Hotspur,2025-12-03,Newcastle United,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-12-06_Tottenham_Hotspur_vs_Brentford_FC,2025-12-06,Tottenham Hotspur,Brentford FC,Home,Premier League,,,Unknown,False
2025-12-06_Brighton_&_Hove_Albion_U18_vs_Tottenham_Hotspur,2025-12-06,Brighton & Hove Albion U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2025-12-09_Tottenham_Hotspur_vs_SK_Slavia_Prague,2025-12-09,Tottenham Hotspur,SK Slavia Prague,Home,UEFA Champions League,,,Unknown,False
2025-12-09_Tottenham_Hotspur_vs_SK_Slavia_Prague_UEFA_U19,2025-12-09,Tottenham Hotspur,SK Slavia Prague UEFA U19,Home,UEFA Youth League,,,Unknown,False
2025-12-13_Nottingham_Forest_vs_Tottenham_Hotspur,2025-12-13,Nottingham Forest,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-12-13_Tottenham_Hotspur_vs_Aston_Villa_U18,2025-12-13,Tottenham Hotspur,Aston Villa U18,Home,U18 Premier League,,,Unknown,False
2025-12-20_Tottenham_Hotspur_vs_Liverpool_FC,2025-12-20,Tottenham Hotspur,Liverpool FC,Home,Premier League,,,Unknown,False
2025-12-20_Fulham_FC_U18_vs_Tottenham_Hotspur,2025-12-20,Fulham FC U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2025-12-27_Crystal_Palace_vs_Tottenham_Hotspur,2025-12-27,Crystal Palace,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2025-12-30_Brentford_FC_vs_Tottenham_Hotspur,2025-12-30,Brentford FC,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2026-01-03_Tottenham_Hotspur_vs_Sunderland_AFC,2026-01-03,Tottenham Hotspur,Sunderland AFC,Home,Premier League,,,Unknown,False
2026-01-07_AFC_Bournemouth_vs_Tottenham_Hotspur,2026-01-07,AFC Bournemouth,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2026-01-09_Tottenham_Hotspur_vs_West_Ham_United_U21,2026-01-09,Tottenham Hotspur,West Ham United U21,Home,Premier League 2,,,Unknown,False
2026-01-10_West_Bromwich_Albion_U18_vs_Tottenham_Hotspur,2026-01-10,West Bromwich Albion U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2026-01-16_Burnley_FC_U21_vs_Tottenham_Hotspur,2026-01-16,Burnley FC U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2026-01-17_Tottenham_Hotspur_vs_West_Ham_United,2026-01-17,Tottenham Hotspur,West Ham United,Home,Premier League,,,Unknown,False
2026-01-20_Tottenham_Hotspur_vs_Borussia_Dortmund,2026-01-20,Tottenham Hotspur,Borussia Dortmund,Home,UEFA Champions League,,,Unknown,False
2026-01-23_Stoke_City_U21_vs_Tottenham_Hotspur,2026-01-23,Stoke City U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2026-01-24_Burnley_FC_vs_Tottenham_Hotspur,2026-01-24,Burnley FC,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2026-01-24_Tottenham_Hotspur_vs_Norwich_City_U18,2026-01-24,Tottenham Hotspur,Norwich City U18,Home,U18 Premier League,,,Unknown,False
2026-01-28_Eintracht_Frankfurt_vs_Tottenham_Hotspur,2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,Away,UEFA Champions League,,,Unknown,False
2026-01-30_Tottenham_Hotspur_vs_Everton_FC_U21,2026-01-30,Tottenham Hotspur,Everton FC U21,Home,Premier League 2,,,Unknown,False
2026-01-31_Tottenham_Hotspur_vs_Manchester_City,2026-01-31,Tottenham Hotspur,Manchester City,Home,Premier League,,,Unknown,False
2026-01-31_Reading_FC_U18_vs_Tottenham_Hotspur,2026-01-31,Reading FC U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2026-02-06_Tottenham_Hotspur_vs_Birmingham_City_U21,2026-02-06,Tottenham Hotspur,Birmingham City U21,Home,Premier League 2,,,Unknown,False
2026-02-07_Manchester_United_vs_Tottenham_Hotspur,2026-02-07,Manchester United,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2026-02-07_Tottenham_Hotspur_vs_West_Ham_United_U18,2026-02-07,Tottenham Hotspur,West Ham United U18,Home,U18 Premier League,,,Unknown,False
2026-02-11_Tottenham_Hotspur_vs_Newcastle_United,2026-02-11,Tottenham Hotspur,Newcastle United,Home,Premier League,,,Unknown,False
2026-02-14_Crystal_Palace_U18_vs_Tottenham_Hotspur,2026-02-14,Crystal Palace U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
2026-02-16_Blackburn_Rovers_U21_vs_Tottenham_Hotspur,2026-02-16,Blackburn Rovers U21,Tottenham Hotspur,Away,Premier League 2,,,Unknown,False
2026-02-20_Tottenham_Hotspur_vs_Norwich_City_U21,2026-02-20,Tottenham Hotspur,Norwich City U21,Home,Premier League 2,,,Unknown,False
2026-02-21_Tottenham_Hotspur_vs_Arsenal_FC,2026-02-21,Tottenham Hotspur,Arsenal FC,Home,Premier League,,,Unknown,False
2026-02-21_Tottenham_Hotspur_vs_Fulham_FC_U18,2026-02-21,Tottenham Hotspur,Fulham FC U18,Home,U18 Premier League,,,Unknown,False
2026-02-28_Fulham_FC_vs_Tottenham_Hotspur,2026-02-28,Fulham FC,Tottenham Hotspur,Away,Premier League,,,Unknown,False
2026-02-28_Ipswich_Town_U18_vs_Tottenham_Hotspur,2026-02-28,Ipswich Town U18,Tottenham Hotspur,Away,U18 Premier League,,,Unknown,False
